date,locale_name,locale_address,start_time,end_time,source_url,source_read_time
Wed Nov 17 2021,Bar Kismet,"2733 Agricola Street, Halifax",6:30 p.m.,9:30 p.m.,https://www.nshealth.ca/news/potential-exposure-covid-19-5-locations-across-nova-scotia,"Mon, 30 Nov 2020 00:53:23 GMT"
Wed Nov 17 2021,Governor’s Pub & Eatery,"233 Esplanade, Sydney",8 p.m.,12:30 a.m.,https://www.nshealth.ca/news/potential-exposure-covid-19-5-locations-across-nova-scotia,"Mon, 30 Nov 2020 00:53:23 GMT"
Wed Nov 17 2021,*Additional Date* Hermitage Restaurant,"1460 Lower Water St, Halifax",3 p.m.,10 p.m.,https://www.nshealth.ca/news/potential-exposure-covid-19-5-locations-across-nova-scotia,"Mon, 30 Nov 2020 00:53:23 GMT"
Thu Nov 25 2021,Fit4Less Sackville,"776 Sackville Dr, Lower Sackville",3:30 p.m.,6 p.m.,https://www.nshealth.ca/news/potential-exposure-covid-19-5-locations-across-nova-scotia,"Mon, 30 Nov 2020 00:53:23 GMT"
