date,locale_name,locale_address,start_time,end_time,source_url,source_read_time
Thu Dec 10 2020,Andre’s Pizza,"243 S Foord Street, Stellarton",2:30 p.m.,10:00 p.m.,https://www.nshealth.ca/news/potential-exposure-covid-19-one-location-northern-zone,"Thu, 17 Dec 2020 01:01:35 GMT"
Fri Dec 11 2020,Andre’s Pizza,"243 S Foord Street, Stellarton",3:00 p.m.,8:00 p.m.,https://www.nshealth.ca/news/potential-exposure-covid-19-one-location-northern-zone,"Thu, 17 Dec 2020 01:01:35 GMT"
