date,locale_name,locale_address,start_time,end_time,source_url,source_read_time
Tue Feb 16 2021,Sobeys,"1120 Queen St, Halifax",12:30 p.m.,1:50 p.m.,https://www.nshealth.ca/news/potential-exposure-covid-19-4-locations-central-zone-0,"Mon, 22 Feb 2021 00:54:26 GMT"
Thu Feb 18 2021,Dollarama,"5657 Spring Garden Rd, Park Lane Mall, Halifax",2 p.m.,3:30 p.m.,https://www.nshealth.ca/news/potential-exposure-covid-19-4-locations-central-zone-0,"Mon, 22 Feb 2021 00:54:26 GMT"
Fri Feb 19 2021,Black Market Boutique,"1545 Grafton St, Halifax",10:30 a.m.,11:40 a.m.,https://www.nshealth.ca/news/potential-exposure-covid-19-4-locations-central-zone-0,"Mon, 22 Feb 2021 00:54:26 GMT"
Fri Feb 19 2021,Pro Skateboards & Snowboards,"6451 Quinpool Rd, Halifax",2:00 p.m.,3:15 p.m.,https://www.nshealth.ca/news/potential-exposure-covid-19-4-locations-central-zone-0,"Mon, 22 Feb 2021 00:54:26 GMT"
