date,locale_name,locale_address,start_time,end_time,source_url,source_read_time
Tue Feb 16 2021,Atlantic Superstore,"745 Sackville Dr, Lower Sackville",8:15 p.m.,9:00 p.m.,https://www.nshealth.ca/news/potential-exposure-covid-19-4-locations-central-zone-one-flight-and-one-updated-flight,"Wed, 24 Feb 2021 00:54:25 GMT"
Fri Feb 19 2021,Winners Bedford Commons,"181 Damascus Rd, Bedford",10:00 a.m.,11:00 a.m.,https://www.nshealth.ca/news/potential-exposure-covid-19-4-locations-central-zone-one-flight-and-one-updated-flight,"Wed, 24 Feb 2021 00:54:25 GMT"
Fri Feb 19 2021,Walmart Bedford Commons,"141 Damascus Rd, Bedford",11:00 a.m.,12:00 p.m.,https://www.nshealth.ca/news/potential-exposure-covid-19-4-locations-central-zone-one-flight-and-one-updated-flight,"Wed, 24 Feb 2021 00:54:25 GMT"
Fri Feb 19 2021,Atlantic Superstore,"1075 Barrington St, Halifax",12:00 p.m.,2:00 p.m.,https://www.nshealth.ca/news/potential-exposure-covid-19-4-locations-central-zone-one-flight-and-one-updated-flight,"Wed, 24 Feb 2021 00:54:25 GMT"
