date,locale_name,locale_address,start_time,end_time,source_url,source_read_time
Sat Nov 13 2021,The Pint Public House,"1575 Argyle St., Halifax",10 p.m.,12 a.m.,https://www.nshealth.ca/news/potential-exposure-covid-19-various-halifax-locations,"Fri, 27 Nov 2020 04:00:15 GMT"
Sat Nov 13 2021,Julep Kitchen & Cocktails,"1684 Barrington St., Halifax",5:45 p.m.,10:30 p.m.,https://www.nshealth.ca/news/potential-exposure-covid-19-various-halifax-locations,"Fri, 27 Nov 2020 04:00:15 GMT"
Wed Nov 17 2021,Durty Nelly’s,"1645 Argyle St., Halifax",5 p.m.,9:30 p.m.,https://www.nshealth.ca/news/potential-exposure-covid-19-various-halifax-locations,"Fri, 27 Nov 2020 04:00:15 GMT"
Wed Nov 17 2021,Freeman’s Little New York,"1726 Grafton St., Halifax",7:30 p.m.,11 p.m.,https://www.nshealth.ca/news/potential-exposure-covid-19-various-halifax-locations,"Fri, 27 Nov 2020 04:00:15 GMT"
