date,locale_name,locale_address,start_time,end_time,source_url,source_read_time
Sun Nov 21 2021,Mad Hatter Wine Bar,"213 George St, Annapolis Royal",5 p.m.,7:30 p.m.,https://www.nshealth.ca/news/potential-exposure-covid-19-seven-locations-across-nova-scotia,"Sat, 05 Dec 2020 00:54:37 GMT"
Mon Nov 22 2021,Best Buy Mayflower Mall,"800 Grand Lake Rd, Sydney",3:45 p.m.,5:15 p.m.,https://www.nshealth.ca/news/potential-exposure-covid-19-seven-locations-across-nova-scotia,"Sat, 05 Dec 2020 00:54:37 GMT"
Thu Nov 25 2021,Miller’s Your Independent Grocer,"21 St Anthony St, Annapolis Royal",4 p.m.,5 p.m.,https://www.nshealth.ca/news/potential-exposure-covid-19-seven-locations-across-nova-scotia,"Sat, 05 Dec 2020 00:54:37 GMT"
Sat Nov 27 2021,Miller’s Your Independent Grocer,"21 St Anthony St, Annapolis Royal",12:30 p.m.,2 p.m.,https://www.nshealth.ca/news/potential-exposure-covid-19-seven-locations-across-nova-scotia,"Sat, 05 Dec 2020 00:54:37 GMT"
Sat Nov 27 2021,Lucky Rabbit,"15 Church St, Annapolis Royal",2 p.m.,3 p.m.,https://www.nshealth.ca/news/potential-exposure-covid-19-seven-locations-across-nova-scotia,"Sat, 05 Dec 2020 00:54:37 GMT"
Sat Nov 27 2021,Bainton’s Tannery Outlet,"213 St George St, Annapolis Royal",3:30 p.m.,4:30 p.m.,https://www.nshealth.ca/news/potential-exposure-covid-19-seven-locations-across-nova-scotia,"Sat, 05 Dec 2020 00:54:37 GMT"
Mon Nov 29 2021,Winners Highland Square Mall,"689 Westville Rd, New Glasgow",12:45 p.m.,2 p.m.,https://www.nshealth.ca/news/potential-exposure-covid-19-seven-locations-across-nova-scotia,"Sat, 05 Dec 2020 00:54:37 GMT"
Mon Nov 29 2021,Pet Valu,"38 George St, New Glasgow",12 p.m.,1:15 p.m.,https://www.nshealth.ca/news/potential-exposure-covid-19-seven-locations-across-nova-scotia,"Sat, 05 Dec 2020 00:54:37 GMT"
