date,locale_name,locale_address,start_time,end_time,source_url,source_read_time
Wed Dec 16 2020,Sobey’s Russell Lake,"268 Baker Drive, Dartmouth",4:20 p.m.,7:00 p.m.,https://www.nshealth.ca/news/potential-exposures-covid-19-four-locations-central-zone,"Sun, 27 Dec 2020 01:12:13 GMT"
Sat Dec 19 2020,Sobey’s First Lake,"80 First Lake Drive, Sackville",11:40 a.m.,2:15 p.m.,https://www.nshealth.ca/news/potential-exposures-covid-19-four-locations-central-zone,"Sun, 27 Dec 2020 01:12:13 GMT"
Mon Dec 21 2020,Micmac Mall,"21 Micmac Blvd, Dartmouth",4:40 p.m.,7:15 p.m.,https://www.nshealth.ca/news/potential-exposures-covid-19-four-locations-central-zone,"Sun, 27 Dec 2020 01:12:13 GMT"
Mon Dec 21 2020,ToysRUs,"15 Gale Terrace, Dartmouth",5:25 p.m.,8:00 p.m.,https://www.nshealth.ca/news/potential-exposures-covid-19-four-locations-central-zone,"Sun, 27 Dec 2020 01:12:13 GMT"
