date,locale_name,locale_address,start_time,end_time,source_url,source_read_time
Mon Nov 15 2021,Bell Aliant,"209 Chain Lake Drive, Halifax",3:00 p.m.,4:30 p.m.,https://www.nshealth.ca/news/potential-exposure-covid-19-various-halifax-locations-0,"Fri, 27 Nov 2020 03:59:50 GMT"
Tue Nov 16 2021,Halifax Central Library,"5440 Spring Garden Rd, Halifax",3:00 p.m.,5:30 p.m.,https://www.nshealth.ca/news/potential-exposure-covid-19-various-halifax-locations-0,"Fri, 27 Nov 2020 03:59:50 GMT"
Wed Nov 17 2021,Goodlife Fitness Halifax Clayton Park,"70 Lacewood Dr, Halifax",11:00 a.m.,1:30 p.m.,https://www.nshealth.ca/news/potential-exposure-covid-19-various-halifax-locations-0,"Fri, 27 Nov 2020 03:59:50 GMT"
Wed Nov 17 2021,Goodlife Fitness Tantallon Westwood,"3650 Hammonds Plains Rd, Upper Tantallon",2:30 p.m.,5:30 p.m.,https://www.nshealth.ca/news/potential-exposure-covid-19-various-halifax-locations-0,"Fri, 27 Nov 2020 03:59:50 GMT"
Thu Nov 18 2021,Sobeys Spryfield,"279 Herring Cove Rd, Halifax",4:00 p.m.,5:00 p.m.,https://www.nshealth.ca/news/potential-exposure-covid-19-various-halifax-locations-0,"Fri, 27 Nov 2020 03:59:50 GMT"
