date,locale_name,locale_address,start_time,end_time,source_url,source_read_time
Wed Feb 10 2021,Walmart New Minas,"9097 Commercial St, New Minas",1 p.m.,2:30 p.m.,https://www.nshealth.ca/news/potential-exposure-covid-19-3-locations-western-zone,"Fri, 19 Feb 2021 00:53:19 GMT"
Wed Feb 10 2021,MIDAS New Minas,"9154 Commercial St, New Minas",11 a.m.,1 p.m.,https://www.nshealth.ca/news/potential-exposure-covid-19-3-locations-western-zone,"Fri, 19 Feb 2021 00:53:19 GMT"
Wed Feb 10 2021,•Burger King,"9148 Commercial St, New Minas",12 p.m.,1 p.m.,https://www.nshealth.ca/news/potential-exposure-covid-19-3-locations-western-zone,"Fri, 19 Feb 2021 00:53:19 GMT"
Wed Feb 03 2021,Walmart New Minas,"9097 Commercial St, New Minas",1 p.m.,5 p.m.,https://www.nshealth.ca/news/potential-exposure-covid-19-3-locations-western-zone,"Fri, 19 Feb 2021 00:53:19 GMT"
