date,locale_name,locale_address,start_time,end_time,source_url,source_read_time
Mon Dec 14 2020,Sobey’s Elmsdale,"269 Hwy 214, Elmsdale",6 a.m.,3:30 p.m.,https://www.nshealth.ca/news/potential-exposure-covid-19-location-northern-zone-central-zone-and-air-canada-flight,"Mon, 21 Dec 2020 01:05:06 GMT"
Tue Dec 15 2020,Sobey’s Elmsdale,"269 Hwy 214, Elmsdale",6 a.m.,11 a.m.,https://www.nshealth.ca/news/potential-exposure-covid-19-location-northern-zone-central-zone-and-air-canada-flight,"Mon, 21 Dec 2020 01:05:06 GMT"
Fri Dec 11 2020,Apple Store – Halifax Shopping Centre,"7001 Mumford Rd, Halifax",4 p.m.,6:30 p.m.,https://www.nshealth.ca/news/potential-exposure-covid-19-location-northern-zone-central-zone-and-air-canada-flight,"Mon, 21 Dec 2020 01:05:06 GMT"
