date,locale_name,locale_address,start_time,end_time,source_url,source_read_time
Tue Nov 16 2021,Agricola Street Brasserie,"2540 Agricola St, Halifax",2:00 p.m.,10:00 p.m.,https://www.nshealth.ca/news/news-release-potential-exposure-covid-19-various-halifax-locations,"Sat, 28 Nov 2020 00:50:57 GMT"
Sat Nov 20 2021,Two Doors Down,"1533 Barrington St, Halifax",5:00 p.m.,7:00 p.m.,https://www.nshealth.ca/news/news-release-potential-exposure-covid-19-various-halifax-locations,"Sat, 28 Nov 2020 00:50:57 GMT"
Sat Nov 20 2021,Wendy’s Restaurant,"720 Sackville Dr, Sackville",2:00 p.m.,2:30 p.m.,https://www.nshealth.ca/news/news-release-potential-exposure-covid-19-various-halifax-locations,"Sat, 28 Nov 2020 00:50:57 GMT"
Sun Nov 21 2021,Antojos,"1667 Argyle St, Halifax",12:00 p.m.,4:00 p.m.,https://www.nshealth.ca/news/news-release-potential-exposure-covid-19-various-halifax-locations,"Sat, 28 Nov 2020 00:50:57 GMT"
Sun Nov 21 2021,Bicycle Thief,"1475 Lower Water St, Halifax",7:15 p.m.,9:45 p.m.,https://www.nshealth.ca/news/news-release-potential-exposure-covid-19-various-halifax-locations,"Sat, 28 Nov 2020 00:50:57 GMT"
Mon Nov 22 2021,Lion’s Head Tavern,"3081 Robie Street, Halifax",12:45 p.m.,2:30 p.m.,https://www.nshealth.ca/news/news-release-potential-exposure-covid-19-various-halifax-locations,"Sat, 28 Nov 2020 00:50:57 GMT"
Mon Nov 22 2021,A&W Restaurant,"1748 Bedford Highway, Bedford",11:00 a.m.,7:00 p.m.,https://www.nshealth.ca/news/news-release-potential-exposure-covid-19-various-halifax-locations,"Sat, 28 Nov 2020 00:50:57 GMT"
Tue Nov 23 2021,Fit4Less,"1535 Dresden Row, Halifax",3:30 p.m.,6:00 p.m.,https://www.nshealth.ca/news/news-release-potential-exposure-covid-19-various-halifax-locations,"Sat, 28 Nov 2020 00:50:57 GMT"
Thu Nov 25 2021,Fit4Less,"1535 Dresden Row, Halifax",6:00 p.m.,7:30 p.m.,https://www.nshealth.ca/news/news-release-potential-exposure-covid-19-various-halifax-locations,"Sat, 28 Nov 2020 00:50:57 GMT"
